Question ID,Question Format Description,Question Format Code,Question Set,Question Prompt
Q704,Month&Year (YYYYMM),10,About you,In what month and year were you born?
Q705,Radio Button (code),0,About you,Are you male or female?
Q706,Checkbox Index (delimited codes),7,What <b>beverages</b> did you drink?,Please check the box next to each beverage that you drank at least once in the past month.
Q708,Radio Button (code),0,Tomato juice or vegetable juice,"Over the past month</u>, how often did you drink tomato juice or vegetable juice?"
Q709,Radio Button (code),0,Tomato juice or vegetable juice,"Each time you drank tomato juice or vegetable juice, how much did you usually drink?"
Q711,Radio Button (code),0,Orange juice or grapefruit juice,"Over the past month</u>, how often did you drink orange juice or grapefruit juice?"
Q712,Radio Button (code),0,Orange juice or grapefruit juice,"Each time you drank orange juice or grapefruit juice, how much did you usually drink?"
Q713,Radio Button (code),0,Orange juice or grapefruit juice,How often was the orange juice or grapefruit juice you drank calcium-fortified?
Q715,Radio Button (code),0,Grape juice,"Over the past month</u>, how often did you drink grape juice?"
Q716,Radio Button (code),0,Grape juice,"Each time you drank grape juice, how much did you usually drink?"
Q718,Radio Button (code),0,"Other 100% fruit juices or 100% fruit juice mixtures (such as apple, pineapple, or others)","Over the past month</u>, how often did you drink other 100% fruit juice or 100% fruit juice mixtures (such as apple, pineapple, or others)?"
Q719,Radio Button (code),0,"Other 100% fruit juices or 100% fruit juice mixtures (such as apple, pineapple, or others)","Each time you drank other 100% fruit juice or 100% fruit juice mixtures, how much did you usually drink?"
Q721,Radio Button (code),0,Fruit or vegetable smoothies,"Over the past month</u>, how often did you drink fruit or vegetable smoothies?"
Q722,Radio Button (code),0,Fruit or vegetable smoothies,"Each time you drank fruit or vegetable smoothies, how much did you usually drink?"
Q724,Radio Button (code),0,"Other fruit drinks, regular or diet (such as Hi-C, fruit punch, lemonade, or cranberry cocktail)","Over the past month</u>, how often did you drink other fruit drinks, regular or diet (such as Hi-C, fruit punch, lemonade, or cranberry cocktail)?"
Q725,Radio Button (code),0,"Other fruit drinks, regular or diet (such as Hi-C, fruit punch, lemonade, or cranberry cocktail)","Each time you drank other fruit drinks, how much did you usually drink?"
Q726,Radio Button (code),0,"Other fruit drinks, regular or diet (such as Hi-C, fruit punch, lemonade, or cranberry cocktail)",How often were your other fruit drinks diet or sugar-free?
Q728,Radio Button (code),0,"Milk as a beverage (NOT in coffee, tea, or cereal; including soy, rice, almond, and coconut milk; <i>NOT including chocolate milk, hot chocolate, and milkshake</i>)","Over the past month</u>, how often did you drink milk as a beverage  (NOT in coffee, tea, or cereal;  including soy, rice, almond, and coconut milk; NOT including chocolate milk, hot chocolate, and milkshake)?"
Q729,Radio Button (code),0,"Milk as a beverage (NOT in coffee, tea, or cereal; including soy, rice, almond, and coconut milk; <i>NOT including chocolate milk, hot chocolate, and milkshake</i>)","Each time you drank milk as a beverage, how much did you usually drink?"
Q730,Radio Button (code),0,"Milk as a beverage (NOT in coffee, tea, or cereal; including soy, rice, almond, and coconut milk; <i>NOT including chocolate milk, hot chocolate, and milkshake</i>)",What kind of milk did you usually drink?
Q732,Radio Button (code),0,Chocolate milk or hot chocolate,"Over the past month</u>, how often did you drink chocolate milk or hot chocolate?"
Q733,Radio Button (code),0,Chocolate milk or hot chocolate,"Each time you drank chocolate milk or hot chocolate, how much did you usually drink?"
Q734,Radio Button (code),0,Chocolate milk or hot chocolate,How often was the chocolate milk or hot chocolate reduced-fat or fat-free?
Q736,Radio Button (code),0,Milkshakes,"Over the past month</u>, how often did you drink milkshakes?"
Q737,Radio Button (code),0,Milkshakes,"Each time you drank milkshakes, how much did you usually drink?"
Q739,Radio Button (code),0,"Meal replacement or high-protein beverages (such as Ensure, Boost, Muscle Milk, Slimfast, Instant Breakfast, or others; <i>NOT including any added protein powder</i>)","Over the past month</u>, how often did you drink meal replacement or high-protein beverages (such as Ensure, Boost, Muscle Milk, Slimfast, Instant Breakfast, or others; NOT including any added protein powder)?"
Q740,Radio Button (code),0,"Meal replacement or high-protein beverages (such as Ensure, Boost, Muscle Milk, Slimfast, Instant Breakfast, or others; <i>NOT including any added protein powder</i>)","Each time you drank meal replacement or high-protein beverages, how much did you usually drink?"
Q742,Radio Button (code),0,Soda or pop,"Over the past month</u>, how often did you drink soda or pop?"
Q743,Radio Button (code),0,Soda or pop,"Each time you drank soda or pop, how much did you usually drink?"
Q744,Radio Button (code),0,Soda or pop,How often were these sodas or pops diet or sugar-free?
Q745,Radio Button (code),0,Soda or pop,How often were these sodas or pops caffeine-free?
Q747,Radio Button (code),0,"Sports drinks (such as Gatorade, Powerade, or Propel)","Over the past month</u>, how often did you drink sports drinks (such as Gatorade, Powerade, or Propel)?"
Q748,Radio Button (code),0,"Sports drinks (such as Gatorade, Powerade, or Propel)","Each time you drank sports drinks, how much did you usually drink?"
Q750,Radio Button (code),0,Energy drinks (such as Red Bull or Jolt),"Over the past month</u>, how often did you drink energy drinks (such as Red Bull or Jolt)?"
Q751,Radio Button (code),0,Energy drinks (such as Red Bull or Jolt),"Each time you drank energy drinks, how much did you usually drink?"
Q753,Radio Button (code),0,"Water (including tap, bottled, and carbonated water; <i>NOT including vitamin water</i>)","Over the past month</u>, how often did you drink water (including tap, bottled, and carbonated water; NOT including vitamin water)?"
Q754,Radio Button (code),0,"Water (including tap, bottled, and carbonated water; <i>NOT including vitamin water</i>)","Each time you drank water, how much did you usually drink?"
Q755,Radio Button (code),0,"Water (including tap, bottled, and carbonated water; <i>NOT including vitamin water</i>)",How often was the water you drank tap water?
Q756,Radio Button (code),0,"Water (including tap, bottled, and carbonated water; <i>NOT including vitamin water</i>)","How often was the water you drank bottled, sweetened water, regular or diet (including carbonated water)?"
Q757,Radio Button (code),0,"Water (including tap, bottled, and carbonated water; <i>NOT including vitamin water</i>)","How often was the water you drank bottled, unsweetened water (including carbonated water)?"
Q759,Radio Button (code),0,"Vitamin water (such as SoBe, Propel Zero, or Glaceau Water)","Over the past month</u>, how often did you drink vitamin water (such as SoBe, Propel Zero, or Glaceau Water)?"
Q760,Radio Button (code),0,"Vitamin water (such as SoBe, Propel Zero, or Glaceau Water)","Each time you drank vitamin water, how much did you usually drink?"
Q762,Radio Button (code),0,Beer,"Over the past month</u>, how often did you drink beer?"
Q763,Radio Button (code),0,Beer,"Each time you drank beer, how much did you usually drink?"
Q764,Radio Button (code),0,Beer,How often was the beer you drank light beer?
Q766,Radio Button (code),0,Wine or wine cooler,"Over the past month</u>, how often did you drink wine or wine cooler?"
Q767,Radio Button (code),0,Wine or wine cooler,"Each time you drank wine or wine cooler, how much did you usually drink?"
Q769,Radio Button (code),0,Liquor or mixed drinks,"Over the past month</u>, how often did you drink liquor or mixed drinks?"
Q770,Radio Button (code),0,Liquor or mixed drinks,"Each time you drank liquor or mixed drinks, how much did you usually drink?"
Q772,Radio Button (code),0,"Coffee, caffeinated or decaffeinated (including brewed coffee, instant coffee, or espresso shots; <i>NOT including espresso drinks such as latte, mocha, etc.)</i>","Over the past month</u>, how many cups of coffee, caffeinated or decaffeinated (including brewed coffee, instant coffee, or espresso shots; NOT including espresso drinks such as latte, mocha, etc.), did you drink?"
Q773,Radio Button (code),0,"Coffee, caffeinated or decaffeinated (including brewed coffee, instant coffee, or espresso shots; <i>NOT including espresso drinks such as latte, mocha, etc.)</i>",How often was the coffee you drank brewed coffee?
Q774,Radio Button (code),0,"Coffee, caffeinated or decaffeinated (including brewed coffee, instant coffee, or espresso shots; <i>NOT including espresso drinks such as latte, mocha, etc.)</i>",How often was the coffee you drank instant coffee?
Q775,Radio Button (code),0,"Coffee, caffeinated or decaffeinated (including brewed coffee, instant coffee, or espresso shots; <i>NOT including espresso drinks such as latte, mocha, etc.)</i>",How often was the coffee your drank plain espresso shots?
Q776,Radio Button (code),0,"Coffee, caffeinated or decaffeinated (including brewed coffee, instant coffee, or espresso shots; <i>NOT including espresso drinks such as latte, mocha, etc.)</i>",How often was the coffee your drank decaffeinated?
