Question ID,Response Code,Response Label
Q705,1,Male
Q705,2,Female
Q706,1,Tomato juice or vegetable juice
Q706,2,Orange juice or grapefruit juice
Q706,3,Grape juice
Q706,4,"Other 100% fruit juices or 100% fruit juice mixtures (such as apple, pineapple, or others)"
Q706,5,Fruit or vegetable smoothies
Q706,6,"Other fruit drinks, regular or diet (such as Hi-C, fruit punch, lemonade, or cranberry cocktail)"
Q706,7,"Milk as a beverage (NOT in coffee, tea, or cereal; including soy, rice, almond, and coconut milk; NOT including chocolate milk, hot chocolate, and milkshake)"
Q706,8,Chocolate milk or hot chocolate
Q706,9,Milkshakes
Q706,10,"Meal replacement or high-protein beverages (such as Ensure, Boost, Muscle Milk, Slimfast, Instant Breakfast, or others; NOT including any added protein powder)"
Q706,11,Soda or pop
Q706,12,"Sports drinks (such as Gatorade, Powerade, or Propel)"
Q706,13,Energy drinks (such as Red Bull or Jolt)
Q706,14,"Water (including tap, bottled, and carbonated water; NOT including vitamin water)"
Q706,15,"Vitamin water (such as SoBe, Propel Zero, or Glaceau Water)"
Q706,16,Beer
Q706,17,Wine or wine cooler
Q706,18,Liquor or mixed drinks
Q706,19,"Coffee, caffeinated or decaffeinated (including brewed coffee, instant coffee, or espresso shots; NOT including espresso drinks such as latte, mocha, etc.)"
Q706,20,"Espresso drink mixtures, caffeinated or decaffeinated (including latte, mocha, cappuccino, etc.)"
Q706,21,"COLD or ICED tea, caffeinated or decaffeinated (NOT including herbal or green tea)"
Q706,22,"HOT tea, caffeinated or decaffeinated (NOT including herbal or green tea)"
Q706,23,Green tea
Q706,24,"Herbal or fruit tea (including hibiscus, chamomile, licorice, sassafras, etc.)"
Q708,1,1 time in the past month
Q708,2,2-3 times in the past month
Q708,3,1-2 times per week
Q708,4,3-4 times per week
Q708,5,5-6 times per week
Q708,6,1 time per day
Q708,7,2-3 times per day
Q708,8,4-5 times per day
Q708,9,6 or more times per day
Q709,1,Less than  3/4 cup (6 ounces)
Q709,2,3/4 to 1 1/2 cups (6 to 12 ounces)
Q709,3,More than 1 1/2 cups (12 ounces)
Q711,1,1 time in the past month
Q711,2,2-3 times in the past month
Q711,3,1-2 times per week
Q711,4,3-4 times per week
Q711,5,5-6 times per week
Q711,6,1 time per day
Q711,7,2-3 times per day
Q711,8,4-5 times per day
Q711,9,6 or more times per day
Q712,1,Less than  3/4 cup (6 ounces)
Q712,2,3/4 to 1 1/2 cups (6 to 12 ounces)
Q712,3,More than 1 1/2 cups (12 ounces)
Q713,1,Almost never or never
Q713,2,About  1/4 of the time
Q713,3,About  1/2 of the time
Q713,4,About  3/4 of the time
Q713,5,Almost always or always
Q715,1,1 time in the past month
Q715,2,2-3 times in the past month
Q715,3,1-2 times per week
Q715,4,3-4 times per week
Q715,5,5-6 times per week
Q715,6,1 time per day
Q715,7,2-3 times per day
Q715,8,4-5 times per day
Q715,9,6 or more times per day
Q716,1,Less than  1/2 cup (4 ounces)
Q716,2,1/2 to 1 1/2 cups (4 to 12 ounces)
Q716,3,More than 1 1/2 cups (12 ounces)
Q718,1,1 time in the past month
Q718,2,2-3 times in the past month
Q718,3,1-2 times per week
Q718,4,3-4 times per week
Q718,5,5-6 times per week
Q718,6,1 time per day
Q718,7,2-3 times per day
Q718,8,4-5 times per day
Q718,9,6 or more times per day
Q719,1,Less than  3/4 cup (6 ounces)
Q719,2,3/4 to 1 1/2 cups (6 to 12 ounces)
Q719,3,More than 1 1/2 cups (12 ounces)
Q721,1,1 time in the past month
Q721,2,2-3 times in the past month
Q721,3,1-2 times per week
Q721,4,3-4 times per week
Q721,5,5-6 times per week
Q721,6,1 time per day
Q721,7,2-3 times per day
Q721,8,4-5 times per day
Q721,9,6 or more times per day
Q722,1,Less than 1 cup (8 ounces)
Q722,2,1 to 2 cups (8 to 16 ounces)
Q722,3,More than 2 cups (16 ounces)
Q724,1,1 time in the past month
Q724,2,2-3 times in the past month
Q724,3,1-2 times per week
Q724,4,3-4 times per week
Q724,5,5-6 times per week
Q724,6,1 time per day
Q724,7,2-3 times per day
Q724,8,4-5 times per day
Q724,9,6 or more times per day
Q725,1,Less than  3/4 cup (6 ounces)
Q725,2,3/4 to 1 1/2 cups (6 to 12 ounces)
Q725,3,More than 1 1/2 cups (12 ounces)
Q726,1,Almost never or never
Q726,2,About  1/4 of the time
Q726,3,About  1/2 of the time
Q726,4,About  3/4 of the time
Q726,5,Almost always or always
Q728,1,1 time in the past month
Q728,2,2-3 times in the past month
Q728,3,1-2 times per week
Q728,4,3-4 times per week
Q728,5,5-6 times per week
Q728,6,1 time per day
Q728,7,2-3 times per day
Q728,8,4-5 times per day
Q728,9,6 or more times per day
Q729,1,Less than  3/4 cup (6 ounces)
Q729,2,3/4 to 1 1/2 cups (6 to 12 ounces)
Q729,3,More than 1 1/2 cups (12 ounces)
Q730,1,Whole milk
Q730,2,2% fat milk
Q730,3,1% fat milk
Q730,4,"Skim, nonfat, or  1/2% fat milk"
Q730,5,Soy milk
Q730,6,Rice milk
Q730,7,Almond milk
Q730,8,Coconut milk
Q730,9,Other
Q732,1,1 time in the past month
Q732,2,2-3 times in the past month
Q732,3,1-2 times per week
Q732,4,3-4 times per week
Q732,5,5-6 times per week
Q732,6,1 time per day
Q732,7,2-3 times per day
Q732,8,4-5 times per day
Q732,9,6 or more times per day
Q733,1,Less than 1 cup (8 ounces)
Q733,2,1 to 1 1/2 cups (8 to 12 ounces)
Q733,3,More than 1 1/2 cups (12 ounces)
Q734,1,Almost never or never
Q734,2,About  1/4 of the time
Q734,3,About  1/2 of the time
Q734,4,About  3/4 of the time
Q734,5,Almost always or always
Q736,1,1 time in the past month
Q736,2,2-3 times in the past month
Q736,3,1-2 times per week
Q736,4,3-4 times per week
Q736,5,5-6 times per week
Q736,6,1 time per day
Q736,7,2-3 times per day
Q736,8,4-5 times per day
Q736,9,6 or more times per day
Q737,1,Less than 1 cup (8 ounces)
Q737,2,1 to 2 cups (8 to 16 ounces)
Q737,3,More than 2 cups (16 ounces)
Q739,1,1 time in the past month
Q739,2,2-3 times in the past month
Q739,3,1-2 times per week
Q739,4,3-4 times per week
Q739,5,5-6 times per week
Q739,6,1 time per day
Q739,7,2-3 times per day
Q739,8,4-5 times per day
Q739,9,6 or more times per day
Q740,1,Less than 1 cup (8 ounces)
