# Constructed from biom file
#OTU ID	Greathouse.FIBER100704	Greathouse.FIBER101008	Greathouse.FIBER100504	Greathouse.FIBER100801	Greathouse.FIBER100812	Greathouse.FIBER100101	Greathouse.FIBER100501	Greathouse.FIBER100301	Greathouse.FIBER100201	Greathouse.FIBER101501	Greathouse.FIBER100308	Greathouse.FIBER100104	Greathouse.FIBER101401	Greathouse.FIBER101304	Greathouse.FIBER100912	Greathouse.FIBER100208	Greathouse.FIBER101101	Greathouse.FIBER100808	Greathouse.FIBER100708	Greathouse.FIBER101012	Greathouse.FIBER100212	Greathouse.FIBER100904	Greathouse.FIBER100901	Greathouse.FIBER100401	Greathouse.FIBER101312	Greathouse.FIBER101201	Greathouse.FIBER100204	Greathouse.FIBER101504	Greathouse.FIBER100804	Greathouse.FIBER101512	Greathouse.FIBER101001	Greathouse.FIBER100304	Greathouse.FIBER100701	Greathouse.FIBER100601	Greathouse.FIBER101301	Greathouse.FIBER1002122	Greathouse.FIBER101508	Greathouse.FIBER100712	Greathouse.FIBER100512	Greathouse.FIBER100404	Greathouse.FIBER100908	Greathouse.FIBER101004	Greathouse.FIBER100312	taxonomy
Unc018j2	0.0	0.0	7.0	7.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	19.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Family_XIII; __Family_XIII_AD3011_group
L03La295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	Bacteria; __Firmicutes; __Bacilli; __Lactobacillales; __Leuconostocaceae; __Leuconostoc
Unc02j2d	0.0	30.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Tyzzerella_3
I2EVar13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteria; __Fusobacteria; __Fusobacteriia; __Fusobacteriales; __Fusobacteriaceae; __Fusobacterium
UncO6361	9.0	13.0	8.0	39.0	8.0	4.0	1.0	2.0	0.0	8.0	3.0	9.0	13.0	15.0	0.0	28.0	2.0	49.0	9.0	5.0	131.0	2.0	3.0	18.0	2.0	6.0	0.0	110.0	12.0	171.0	4.0	2.0	12.0	15.0	2.0	0.0	104.0	1.0	4.0	19.0	1.0	4.0	2.0	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Lachnoclostridium
Unc0n3zu	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Porphyromonadaceae; __Porphyromonas
UncO6492	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Lachnoclostridium
Unc03b8p	0.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	9.0	22.0	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Clostridiales_vadinBB60_group; __g
Unc01vau	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Ruminococcaceae_UCG_010
Unc01rsx	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __uncultured
