Outcome,Parameter,Estimate,Std. Error,t value,Pr(>|t|),p.adj,sigflag
Glucose,IntB,-1.5741637831603121,5.253956868580186,-0.29961490406861857,0.768,0.9025769324557963, 
Glucose,Post,-3.666666666666659,4.911547258215438,-0.7465400359394905,0.466,0.8276285873280201, 
Glucose,IntB:Post,13.466666666666656,7.285001869135237,1.848546768906349,0.082,0.4890521603089456, 
BUN,IntB,2.6788927335640143,1.316244303395276,2.0352549497488894,0.058,0.47352201253578213, 
BUN,Post,1.9999999999999996,1.2304623469872118,1.6254052835480919,0.122,0.5518851353903995, 
BUN,IntB:Post,-3.5999999999999983,1.8250705992309477,-1.9725264335072705,0.065,0.47352201253578213, 
Creatinine,IntB,0.0845259515570937,0.05471979128046808,1.5447052991092962,0.141,0.5518851353903995, 
Creatinine,Post,0.07500000000000027,0.05115360623551001,1.4661722900767156,0.161,0.5518851353903995, 
Creatinine,IntB:Post,-0.06900000000000026,0.07587305943465533,-0.9094137038117672,0.376,0.7855934700246905, 
Sodium,IntB,2.0342560553633526,1.0481733242509055,1.940763047769001,0.069,0.47352201253578213, 
Sodium,Post,-0.49999999999997036,0.979862025066513,-0.5102759237618484,0.616,0.898170335152762, 
Sodium,IntB:Post,-0.7000000000000294,1.4533702535721533,-0.48163914066600755,0.636,0.898170335152762, 
Potassium,IntB,-0.07848904267589463,0.24530624199315643,-0.3199634955806967,0.753,0.9025769324557963, 
Potassium,Post,-0.21666666666666756,0.2293192027307622,-0.9448256582378334,0.358,0.7855934700246905, 
Potassium,IntB:Post,0.11666666666666753,0.34013534487077246,0.3430007155269108,0.736,0.9025769324557963, 
Chloride,IntB,-0.6779700115339944,1.2063362925165402,-0.5620074731563286,0.581,0.898170335152762, 
Chloride,Post,-1.6666666666666363,1.1277172344957864,-1.4779118520892514,0.158,0.5518851353903995, 
Chloride,IntB:Post,1.4666666666666377,1.672674969667871,0.8768390113220031,0.393,0.7855934700246905, 
Carbon_Dioxide,IntB,0.6384083044982696,1.4596075860107462,0.43738352048656,0.667,0.9025769324557963, 
Carbon_Dioxide,Post,2.0000000000000004,1.3644823923114628,1.4657572800275986,0.161,0.5518851353903995, 
Carbon_Dioxide,IntB:Post,-1.0000000000000007,2.0238544507057883,-0.4941066782995516,0.628,0.898170335152762, 
Calcium,IntB,0.2974279123414093,0.16639320755759696,1.787500323524052,0.092,0.4890521603089456, 
Calcium,Post,0.4833333333333356,0.1555490695503251,3.107272417190267,0.006,0.3073894653842468, 
Calcium,IntB:Post,-0.30333333333333595,0.2307165548536518,-1.3147445510607005,0.206,0.6086781191155877, 
Cholesterol,IntB,46.01014994232989,22.340265195183925,2.0595167309047286,0.055,0.47352201253578213, 
Cholesterol,Post,10.666666666666671,20.884310817889,0.5107502354125979,0.616,0.898170335152762, 
Cholesterol,IntB:Post,-2.4666666666666743,30.976438858332795,-0.07963041452078118,0.937,0.9574070690327563, 
Triglycerides,IntB,65.1521337946944,52.12406525342672,1.2499434470033242,0.228,0.6086781191155877, 
Triglycerides,Post,-11.166666666666641,48.72704823930043,-0.22916772244907402,0.821,0.9292107318879327, 
Triglycerides,IntB:Post,38.76666666666664,72.27389228658745,0.536385483612053,0.599,0.898170335152762, 
HDL,IntB,-7.86459054209917,9.45477001796739,-0.8318119348385715,0.417,0.8007299840178737, 
HDL,Post,6.166666666666688,8.838586025803142,0.6976983251239371,0.495,0.8482262861652343, 
HDL,IntB:Post,2.4333333333333105,13.109741662525225,0.18561260747716343,0.855,0.9292107318879327, 
LDL,IntB,41.45935409457901,19.275612054401854,2.150870954321328,0.046,0.47352201253578213, 
LDL,Post,6.66666666666665,18.019386512741978,0.3699719000950713,0.716,0.9025769324557963, 
LDL,IntB:Post,-10.126666666666653,26.727069398837813,-0.37889177131807034,0.709,0.9025769324557963, 
LDL_HDL_Ratio,IntB,0.9223460207612458,0.4507647965074351,2.046180242795496,0.057,0.47352201253578213, 
LDL_HDL_Ratio,Post,-0.05499999999999983,0.421387661864157,-0.13052114472618379,0.898,0.9367160248365674, 
LDL_HDL_Ratio,IntB:Post,-0.4989999999999998,0.6250189080795481,-0.798375846793567,0.436,0.8043035387652363, 
hsCRP,IntB,-1.5014071510957314,1.5920600659622004,-0.943059362643029,0.359,0.7855934700246905, 
hsCRP,Post,-1.883333333333332,1.4883027111724365,-1.2654235722312857,0.223,0.6086781191155877, 
hsCRP,IntB:Post,2.9033333333333315,2.207509662987479,1.315207530917068,0.206,0.6086781191155877, 
Insulin,IntB,17.95686274509805,17.321504154818765,1.0366803358761734,0.314,0.7855934700246905, 
Insulin,Post,2.6666666666666625,16.192631262075423,0.16468396170499058,0.871,0.9292107318879327, 
Insulin,IntB:Post,-0.2666666666666773,24.01755349358034,-0.011102990433141108,0.991,0.9912705362918381, 
PYY,IntB,-103.93479700115344,116.0289653893625,-0.8957659550990201,0.383,0.7855934700246905, 
PYY,Post,-32.086666666666694,108.46715363038382,-0.2958192004927709,0.771,0.9025769324557963, 
PYY,IntB:Post,26.900666666666673,160.88278813064505,0.16720661656374303,0.869,0.9292107318879327, 
