"","GroupA_Mean","GroupA_SD","GroupB_Mean","GroupB_SD","P_Value"
"Ng",6,NA,5,NA,NA
"PercentMale",33.33333,NA,40,NA,NA
"Age_Mean",27.33333,1.505545,28.4,2.607681,0.637962297546114
"Weight_kg_M",68.96667,12.19929,73.88,9.237803,0.536796536796537
"Height_cm_M",164.2667,10.067108,163.584,6.309222,0.926932516081649
"BMI_M",25.45992,3.127485,27.51561,1.724094,0.246753246753247
"VFL_M",8.833333,4.308906,10.2,2.949576,0.404832463605878
"PercBF_M",29.75,8.550731,32.34,4.9988,0.464191646803969
"PercLF_M",26.86667,6.908449,27.86,3.995998,0.407016027271374
"HEI_Total_M",89.364,0.4456793,89.8175,0.365,0.200825122695145
